california_four_o'clock%1:20:00::	california_four_o-clock%1:20:00::
california_lady's_slipper%1:20:00::	california_lady-s_slipper%1:20:00::
calves'_feet%1:13:00::	calves-_feet%1:13:00::
calves'_liver%1:13:00::	calves-_liver%1:13:00::
camel's_hair%1:06:00::	camel-s_hair%1:06:00::
canary_island_hare's_foot_fern%1:20:00::	canary_island_hare-s_foot_fern%1:20:00::
captain's_chair%1:06:00::	captain-s_chair%1:06:00::
carnot's_ideal_cycle%1:11:00::	carnot-s_ideal_cycle%1:11:00::
carpenter's_hammer%1:06:00::	carpenter-s_hammer%1:06:00::
carpenter's_kit%1:06:00::	carpenter-s_kit%1:06:00::
carpenter's_level%1:06:00::	carpenter-s_level%1:06:00::
carpenter's_mallet%1:06:00::	carpenter-s_mallet%1:06:00::
carpenter's_plane%1:06:00::	carpenter-s_plane%1:06:00::
carpenter's_rule%1:06:00::	carpenter-s_rule%1:06:00::
carpenter's_saw%1:06:00::	carpenter-s_saw%1:06:00::
carpenter's_square%1:06:00::	carpenter-s_square%1:06:00::
cashier's_check%1:21:00::	cashier-s_check%1:21:00::
cashier's_cheque%1:21:00::	cashier-s_cheque%1:21:00::
cassin's_kingbird%1:05:00::	cassin-s_kingbird%1:05:00::
catcher's_mask%1:06:00::	catcher-s_mask%1:06:00::
catch_one's_breath%2:32:00::	catch_one-s_breath%2:32:00::
catch_some_z's%2:29:00::	catch_some_z-s%2:29:00::
cat-o'-nine-tails%1:06:00::	cat-o--nine-tails%1:06:00::
cat's-claw%1:20:00::	cat-s-claw%1:20:00::
cat's_cradle%1:04:00::	cat-s_cradle%1:04:00::
cat's-ear%1:20:01::	cat-s-ear%1:20:01::
cat's-ear%1:20:02::	cat-s-ear%1:20:02::
cat's_eye%1:27:00::	cat-s_eye%1:27:00::
cat's_feet%1:20:00::	cat-s_feet%1:20:00::
cat's_foot%1:20:00::	cat-s_foot%1:20:00::
cat's-paw%1:06:00::	cat-s-paw%1:06:00::
cat's-paw%1:18:00::	cat-s-paw%1:18:00::
cat's-tail%1:20:02::	cat-s-tail%1:20:02::
charge_d'affaires%1:18:00::	charge_d-affaires%1:18:00::
charles'_law%1:09:00::	charles-_law%1:09:00::
charles's_wain%1:17:00::	charles-s_wain%1:17:00::
chef-d'oeuvre%1:06:00::	chef-d-oeuvre%1:06:00::
chef's_salad%1:13:00::	chef-s_salad%1:13:00::
chemist's%1:06:00::	chemist-s%1:06:00::
chemist's_shop%1:06:00::	chemist-s_shop%1:06:00::
child's_body%1:08:00::	child-s_body%1:08:00::
child's_game%1:04:00::	child-s_game%1:04:00::
child's_play%1:04:00::	child-s_play%1:04:00::
child's_play%1:04:01::	child-s_play%1:04:01::
child's_room%1:06:00::	child-s_room%1:06:00::
ch'ing%1:14:00::	ch-ing%1:14:00::
ch'ing_dynasty%1:14:00::	ch-ing_dynasty%1:14:00::
christ's-thorn%1:20:01::	christ-s-thorn%1:20:01::
christ's-thorn%1:20:02::	christ-s-thorn%1:20:02::
chuck-will's-widow%1:05:00::	chuck-will-s-widow%1:05:00::
clark's_nutcracker%1:05:00::	clark-s_nutcracker%1:05:00::
climbing_bird's_nest_fern%1:20:00::	climbing_bird-s_nest_fern%1:20:00::
clinton's_lily%1:20:00::	clinton-s_lily%1:20:00::
clustered_lady's_slipper%1:20:00::	clustered_lady-s_slipper%1:20:00::
coal_miner's_lung%1:26:00::	coal_miner-s_lung%1:26:00::
cobbler's_last%1:06:00::	cobbler-s_last%1:06:00::
cock's_eggs%1:20:00::	cock-s_eggs%1:20:00::
coeur_d'alene%1:15:00::	coeur_d-alene%1:15:00::
cold's_foot%1:20:00::	cold-s_foot%1:20:00::
collector's_item%1:06:00::	collector-s_item%1:06:00::
colorado_four_o'clock%1:20:00::	colorado_four_o-clock%1:20:00::
commedia_dell'arte%1:10:00::	commedia_dell-arte%1:10:00::
common_devil's_claw%1:20:00::	common_devil-s_claw%1:20:00::
common_four-o'clock%1:20:00::	common_four-o-clock%1:20:00::
common_lady's-slipper%1:20:00::	common_lady-s-slipper%1:20:00::
common_st_john's_wort%1:20:00::	common_st_john-s_wort%1:20:00::
comstock's_mealybug%1:05:00::	comstock-s_mealybug%1:05:00::
conn's_syndrome%1:26:00::	conn-s_syndrome%1:26:00::
cooley's_anaemia%1:26:00::	cooley-s_anaemia%1:26:00::
cooley's_anemia%1:26:00::	cooley-s_anemia%1:26:00::
cooper's_hawk%1:05:00::	cooper-s_hawk%1:05:00::
copper's_nark%1:18:00::	copper-s_nark%1:18:00::
cote_d'azur%1:15:00::	cote_d-azur%1:15:00::
cote_d'ivoire%1:15:00::	cote_d-ivoire%1:15:00::
cote_d'ivoire_franc%1:23:00::	cote_d-ivoire_franc%1:23:00::
coulomb's_law%1:09:00::	coulomb-s_law%1:09:00::
coup_d'etat%1:04:00::	coup_d-etat%1:04:00::
coup_d'oeil%1:04:00::	coup_d-oeil%1:04:00::
court_of_saint_james's%1:14:00::	court_of_saint_james-s%1:14:00::
cowper's_gland%1:08:00::	cowper-s_gland%1:08:00::
cow's_head%1:20:00::	cow-s_head%1:20:00::
cows'_milk%1:13:00::	cows-_milk%1:13:00::
cox's_orange_pippin%1:13:00::	cox-s_orange_pippin%1:13:00::
crane's_bill%1:20:00::	crane-s_bill%1:20:00::
creeping_st_john's_wort%1:20:00::	creeping_st_john-s_wort%1:20:00::
crohn's_disease%1:26:00::	crohn-s_disease%1:26:00::
